day,time_range,teacher_id,teacher_name
monday,8:00 - 8:50 to 8:50 - 9:40,1777,New Faculty Computer Science & Engineering (NS-New Staff-3)
monday,10:00 - 10:50,1777,New Faculty Computer Science & Engineering (NS-New Staff-3)
monday,11:00 - 11:50,1777,New Faculty Computer Science & Engineering (NS-New Staff-3)
tuesday,8:00 - 8:50 to 8:50 - 9:40,1777,New Faculty Computer Science & Engineering (NS-New Staff-3)
tuesday,2:00 - 2:50,1777,New Faculty Computer Science & Engineering (NS-New Staff-3)
tuesday,3:00 - 3:50,1777,New Faculty Computer Science & Engineering (NS-New Staff-3)
fri,8:00 - 8:50 to 8:50 - 9:40,1777,New Faculty Computer Science & Engineering (NS-New Staff-3)
fri,11:00 - 11:50,1777,New Faculty Computer Science & Engineering (NS-New Staff-3)
fri,4:00 - 4:50,1777,New Faculty Computer Science & Engineering (NS-New Staff-3)
thur,8:00 - 8:50 to 8:50 - 9:40,1777,New Faculty Computer Science & Engineering (NS-New Staff-3)
