Day,StartTime,EndTime,Course,Teacher,Room
FRIDAY,11:00,11:50,Linear Algebra and Calculus,Dr. Meenakumari R,A203
THURSDAY,08:00,08:50,Linear Algebra and Calculus,Dr. Meenakumari R,D309
FRIDAY,10:00,10:50,Linear Algebra and Calculus,Dr. Meenakumari R,C302
THURSDAY,15:00,15:50,Linear Algebra and Calculus,Dr. Meenakumari R,D309
THURSDAY,09:00,09:50,Technical Communication -I,Mrs. Sharmila B,B417
TUESDAY,14:00,14:50,Technical Communication -I,Mrs. Sharmila B,A203
TUESDAY,11:00,11:50,Programming using C,New Staff 1 N,B417
FRIDAY,15:00,15:50,Programming using C,New Staff 1 N,D703
MONDAY,08:00,08:50,Programming using C,New Staff 1 N,A205
FRIDAY,08:00,09:40,Programming using C,New Staff 1 N,TLGL1
TUESDAY,08:00,09:40,Programming using C,New Staff 1 N,TLFL3
MONDAY,11:50,13:20,Programming using C,New Staff 1 N,JL1
TUESDAY,11:50,13:20,Programming using C,New Staff 1 N,JL2
THURSDAY,14:00,14:50,Indian Constitution and Freedom Movement,Ms. Manasa K,D709
FRIDAY,14:00,14:50,Indian Constitution and Freedom Movement,Ms. Manasa K,C101
WEDNESDAY,11:00,11:50,Indian Constitution and Freedom Movement,Ms. Manasa K,C101
THURSDAY,11:50,13:20,Engineering Practices - Civil & Mechanical,Dr. Ramkumar S,Machine Shop FF2 - EPL - 2
FRIDAY,11:50,13:20,Engineering Practices - Civil & Mechanical,Dr. Ramkumar S,Machine Shop FF3 - EPL - 3
WEDNESDAY,10:00,10:50,Basic Electrical and Electronics Engineering,Mr. T. S. Saravanan,B402
MONDAY,15:00,15:50,Basic Electrical and Electronics Engineering,Mr. T. S. Saravanan,D411
WEDNESDAY,13:00,13:50,Basic Electrical and Electronics Engineering,Mr. T. S. Saravanan,C101
MONDAY,13:20,15:00,Basic Electrical and Electronics Engineering,Mr. T. S. Saravanan,Basic Electronics Lab-1
TUESDAY,08:00,09:40,Basic Electrical and Electronics Engineering,Mr. T. S. Saravanan,Basic Electronics Lab-1
THURSDAY,10:00,10:50,Physics for Information Science,Mrs. Dr.B.Latha,D411
MONDAY,11:00,11:50,Physics for Information Science,Mrs. Dr.B.Latha,D411
WEDNESDAY,09:00,09:50,Physics for Information Science,Mrs. Dr.B.Latha,D709
WEDNESDAY,15:00,16:40,Physics for Information Science,Mrs. Dr.B.Latha,Physics LAB - 1
MONDAY,09:00,09:50,Heritage Of Tamils,New Faculty English (NS-NFE-3),D411
