Day,StartTime,EndTime,Course,Groups,Room
WEDNESDAY,15:00,15:50,Computer Networks,AIML 3.3,A302
SATURDAY,11:00,11:50,Computer Networks,AIML 3.3,B222
THURSDAY,08:00,08:50,Computer Networks,AIML 3.3,B410
SATURDAY,11:50,13:30,Computer Networks,AIML 3.3,KFR01
THURSDAY,11:50,13:30,Computer Networks,AIML 3.3,TLGL4
WEDNESDAY,15:50,17:30,Computer Networks,AIML 3.3,Process Control Lab
SATURDAY,17:30,19:10,Computer Networks,AIML 3.3,Physics LAB - 1
TUESDAY,08:00,08:50,Secure Systems Engineering,AIML 4.3,A211
TUESDAY,09:00,09:50,Secure Systems Engineering,AIML 4.3,B107
THURSDAY,09:00,09:50,Secure Systems Engineering,AIML 4.3,B425
