Day,StartTime,EndTime,Course,Group,Room
TUESDAY,12:00,12:50,Engineering Graphics,FT 1.1,D211
TUESDAY,12:00,12:50,Engineering Graphics,FT 1.1,D211
TUESDAY,12:00,12:50,Engineering Graphics,FT 1.1,D211
TUESDAY,12:00,12:50,Engineering Graphics,FT 1.1,D211
TUESDAY,12:00,12:50,Engineering Graphics,FT 1.1,D211
TUESDAY,12:00,12:50,Engineering Graphics,FT 1.1,D211
THURSDAY,11:50,13:20,Engineering Practices - Civil & Mechanical,CSE-CS 1.2,Machine Shop FF2 - EPL - 2
FRIDAY,11:50,13:20,Engineering Practices - Civil & Mechanical,CSE-CS 1.2,Machine Shop FF3 - EPL - 3
THURSDAY,15:00,16:40,Engineering Practices - Civil & Mechanical,CSE 1.11,Machine Shop FF2 - EPL - 2
WEDNESDAY,13:20,15:00,Engineering Practices - Civil & Mechanical,CSE 1.11,Machine Shop FF3 - EPL - 3
