Day,StartTime,EndTime,Course,Groups,Room
MONDAY,08:00,08:50,URBAN PLANNING AND DEVELOPMENT,CIVIL 3.1,A202
WEDNESDAY,11:00,11:50,URBAN PLANNING AND DEVELOPMENT,CIVIL 3.1,B411
FRIDAY,17:00,17:50,URBAN PLANNING AND DEVELOPMENT,CIVIL 3.1,B321
WEDNESDAY,08:00,09:40,PROBLEM SOLVING USING MACHINE LEARNING IN CIVIL ENGINEERING,CIVIL 4.1,Classroom
TUESDAY,15:50,17:30,PROBLEM SOLVING USING MACHINE LEARNING IN CIVIL ENGINEERING,CIVIL 4.1,Classroom
FRIDAY,11:50,13:30,PROBLEM SOLVING USING MACHINE LEARNING IN CIVIL ENGINEERING,CIVIL 4.1,Classroom
TUESDAY,17:30,19:10,PROBLEM SOLVING USING MACHINE LEARNING IN CIVIL ENGINEERING,CIVIL 4.1,Classroom
THURSDAY,15:00,15:50,WATER RESOURCES AND IRRIGATION ENGINEERING,CIVIL 4.1,B106
MONDAY,10:00,10:50,WATER RESOURCES AND IRRIGATION ENGINEERING,CIVIL 4.1,B401
MONDAY,11:00,11:50,WATER RESOURCES AND IRRIGATION ENGINEERING,CIVIL 4.1,B405
