Day,StartTime,EndTime,Course,Groups,Room
WEDNESDAY,11:50,13:30,Manufacturing Technology Laboratory I,MECH 2.2,Manufacturing Technology I
TUESDAY,11:50,13:30,Manufacturing Technology Laboratory I,MECH 2.2,Manufacturing Technology I
MONDAY,08:00,08:50,Non-Destructive Testing and Evaluation,MECH 4.1,A305
MONDAY,15:00,15:50,Non-Destructive Testing and Evaluation,MECH 4.1,A205
WEDNESDAY,10:00,10:50,Non-Destructive Testing and Evaluation,MECH 4.1,B211
MONDAY,11:00,11:50,Non-Destructive Testing and Evaluation,MECH 4.2,A203
WEDNESDAY,17:00,17:50,Non-Destructive Testing and Evaluation,MECH 4.2,B404
FRIDAY,15:00,15:50,Non-Destructive Testing and Evaluation,MECH 4.2,B411
MONDAY,14:00,14:50,Non-Destructive Testing and Evaluation,MECH 4.3,B321
MONDAY,10:00,10:50,Non-Destructive Testing and Evaluation,MECH 4.3,A210
MONDAY,12:00,12:50,Non-Destructive Testing and Evaluation,MECH 4.3,A309
