Day,StartTime,EndTime,Course,Groups,Room
THURSDAY,16:00,16:50,Digital Logic and Computer Architecture,IT 2.2,C201
TUESDAY,16:00,16:50,Digital Logic and Computer Architecture,IT 2.2,B210
TUESDAY,09:00,09:50,Digital Logic and Computer Architecture,IT 2.2,B409
TUESDAY,09:50,11:30,Digital Logic and Computer Architecture,IT 2.2,Technical Analysis Lab
THURSDAY,17:30,19:10,Digital Logic and Computer Architecture,IT 2.2,JR3
FRIDAY,17:00,17:50,Digital Logic and Computer Architecture,IT 2.5,B220
SATURDAY,11:00,11:50,Digital Logic and Computer Architecture,IT 2.5,A204
SATURDAY,15:00,15:50,Digital Logic and Computer Architecture,IT 2.5,A309
SATURDAY,11:50,13:30,Digital Logic and Computer Architecture,IT 2.5,Livestock Lab
THURSDAY,13:50,15:30,Digital Logic and Computer Architecture,IT 2.5,Process Control Lab
WEDNESDAY,09:50,11:30,Soft Skills – II,IT 3.4,Manufacturing Technology I
SATURDAY,17:30,19:10,Soft Skills – II,IT 3.4,JR3
FRIDAY,10:00,10:50,Computer Networks,IT 3.4,A210
WEDNESDAY,14:00,14:50,Computer Networks,IT 3.4,A304
WEDNESDAY,09:00,09:50,Computer Networks,IT 3.4,C307
WEDNESDAY,11:50,13:30,Computer Networks,IT 3.4,Power Electronics Lab
TUESDAY,11:50,13:30,Computer Networks,IT 3.4,Aerodynamics Lab
FRIDAY,13:50,15:30,Computer Networks,IT 3.4,TLFR2
FRIDAY,11:50,13:30,Computer Networks,IT 3.4,Basic Electronics Lab-2
