Day,StartTime,EndTime,Course,Group,Room
FRIDAY,16:00,16:50,Chemistry For Electronics Engineering,EEE 1.2,D405
FRIDAY,12:00,12:50,Chemistry For Electronics Engineering,EEE 1.2,D204
WEDNESDAY,14:00,14:50,Chemistry For Electronics Engineering,EEE 1.2,D109
WEDNESDAY,11:50,13:20,Chemistry For Electronics Engineering,EEE 1.2,Chemistry Lab
FRIDAY,10:00,11:40,Chemistry For Electronics Engineering,EEE 1.2,Chemistry Lab
WEDNESDAY,10:00,10:50,Environmental Science and Engineering,BT 1.1,D409
THURSDAY,09:00,09:50,Environmental Science and Engineering,BT 1.1,B222
THURSDAY,08:00,08:50,Environmental Science and Engineering,BT 1.1,D311
TUESDAY,15:00,15:50,Environmental Science and Engineering,BME 1.2,D309
FRIDAY,15:00,15:50,Environmental Science and Engineering,BME 1.2,A102
FRIDAY,14:00,14:50,Environmental Science and Engineering,BME 1.2,A210
