Day,StartTime,EndTime,Course,Groups,Room
MONDAY,11:50,13:30,COMPREHENSION,MECH 4.2,Microprocessor Lab-1
THURSDAY,11:50,13:30,COMPREHENSION,MECH 4.2,JR3
MONDAY,11:00,11:50,Product Life Cycle Management,MECH 4.1,B404
WEDNESDAY,11:00,11:50,Product Life Cycle Management,MECH 4.1,A211
MONDAY,09:00,09:50,Product Life Cycle Management,MECH 4.1,A205
THURSDAY,10:00,10:50,Product Life Cycle Management,MECH 4.2,B213
THURSDAY,14:00,14:50,Product Life Cycle Management,MECH 4.2,C301
WEDNESDAY,10:00,10:50,Product Life Cycle Management,MECH 4.2,A109
FRIDAY,17:00,17:50,Product Life Cycle Management,MECH 4.3,B404
WEDNESDAY,16:00,16:50,Product Life Cycle Management,MECH 4.3,B405
MONDAY,15:00,15:50,Product Life Cycle Management,MECH 4.3,B212
