Day,StartTime,EndTime,Course,Groups,Room
SATURDAY,10:00,10:50,Analog Devices and Drives,MCT 2.1,B302
WEDNESDAY,11:00,11:50,Analog Devices and Drives,MCT 2.1,B403
FRIDAY,09:50,11:30,Analog Devices and Drives,MCT 2.1,Industrial Automation Lab
WEDNESDAY,11:50,13:30,Analog Devices and Drives,MCT 2.1,Industrial Automation Lab
TUESDAY,11:50,13:30,Soft Skills – II,MCT 3.1,Metrology & Measurement Lab
FRIDAY,11:50,13:30,Soft Skills – II,MCT 3.1,JL1
SATURDAY,11:50,13:30,Industrial Automation Laboratory,MCT 4.1,TLFR5
SATURDAY,08:00,09:40,Industrial Automation Laboratory,MCT 4.1,KFR02
THURSDAY,15:00,15:50,Industrial Automation,MCT 4.1,A308
WEDNESDAY,10:00,10:50,Industrial Automation,MCT 4.1,B320
FRIDAY,09:00,09:50,Industrial Automation,MCT 4.1,B404
