Day,StartTime,EndTime,Course,Groups,Room
FRIDAY,16:00,16:50,Computer Networks,IT 3.1,B424
SATURDAY,16:00,16:50,Computer Networks,IT 3.1,B419
WEDNESDAY,09:00,09:50,Computer Networks,IT 3.1,A304
SATURDAY,11:50,13:30,Computer Networks,IT 3.1,TLFR3
SATURDAY,13:50,15:30,Computer Networks,IT 3.1,TLFL5
WEDNESDAY,09:50,11:30,Computer Networks,IT 3.1,TLFL2
THURSDAY,11:50,13:30,Computer Networks,IT 3.1,TLFL3
TUESDAY,11:00,11:50,Cloud and Big Data Analytics,IT 4.1,B410
THURSDAY,09:00,09:50,Cloud and Big Data Analytics,IT 4.1,B416
THURSDAY,08:00,08:50,Cloud and Big Data Analytics,IT 4.1,A202
TUESDAY,17:30,19:10,Cloud and Big Data Analytics,IT 4.1,Isaac Asimov Laboratory
TUESDAY,11:50,13:30,Cloud and Big Data Analytics,IT 4.1,KFR01
THURSDAY,09:50,11:30,Cloud and Big Data Analytics,IT 4.1,Computer Application in Chemical Engg Lab
WEDNESDAY,11:50,13:30,Cloud and Big Data Analytics,IT 4.1,Particle Science and Technology Lab
