Day,StartTime,EndTime,Course,Groups,Room
SATURDAY,11:50,13:30,Soft Skills – II,IT 3.2,KFR02
SATURDAY,09:50,11:30,Soft Skills – II,IT 3.2,TLFR1
THURSDAY,11:00,11:50,Computer Vision,IT 3.1,A202
FRIDAY,10:00,10:50,Computer Vision,IT 3.1,B401
TUESDAY,13:00,13:50,Computer Vision,IT 3.1,B401
TUESDAY,15:50,17:30,Computer Vision,IT 3.1,Microprocessor Lab-2
THURSDAY,13:50,15:30,Computer Vision,IT 3.1,TLFL4
FRIDAY,16:00,16:50,Computer Vision,IT 3.4,A204
THURSDAY,17:00,17:50,Computer Vision,IT 3.4,A205
WEDNESDAY,08:00,08:50,Computer Vision,IT 3.4,B219
FRIDAY,11:50,13:30,Computer Vision,IT 3.4,Medical Image Processing Lab
WEDNESDAY,09:50,11:30,Computer Vision,IT 3.4,Electronic Devices & Circuits Lab
