Day,StartTime,EndTime,Course,Groups,Room
FRIDAY,16:00,16:50,Computer Networks,CSE 3.1,B322
WEDNESDAY,18:00,18:50,Computer Networks,CSE 3.1,B302
THURSDAY,16:00,16:50,Computer Networks,CSE 3.1,B325
WEDNESDAY,11:50,13:30,Computer Networks,CSE 3.1,Electrical Machines II Lab
MONDAY,13:50,15:30,Computer Networks,CSE 3.1,Physics LAB - 2
WEDNESDAY,13:50,15:30,Computer Networks,CSE 3.1,Manufacturing Technology I
MONDAY,11:50,13:30,Computer Networks,CSE 3.1,Chemical Reaction Engineering Lab
TUESDAY,18:00,18:50,Computer Networks,CSE 3.6,B210
THURSDAY,09:00,09:50,Computer Networks,CSE 3.6,C103
FRIDAY,15:00,15:50,Computer Networks,CSE 3.6,B408
FRIDAY,11:50,13:30,Computer Networks,CSE 3.6,Livestock Lab
THURSDAY,09:50,11:30,Computer Networks,CSE 3.6,Vehicle Maintenance Lab
MONDAY,15:50,17:30,Computer Networks,CSE 3.6,Strength of Materials Lab
MONDAY,17:30,19:10,Computer Networks,CSE 3.6,Fluid Mechanics Lab
TUESDAY,12:00,12:50,INFORMATION SECURITY AND MANAGEMENT,CSE 4.1,B408
TUESDAY,13:00,13:50,INFORMATION SECURITY AND MANAGEMENT,CSE 4.1,B415
TUESDAY,13:50,15:30,INFORMATION SECURITY AND MANAGEMENT,CSE 4.1,VLSI Lab
FRIDAY,08:00,09:40,INFORMATION SECURITY AND MANAGEMENT,CSE 4.1,MEMS Lab
WEDNESDAY,11:00,11:50,INFORMATION SECURITY AND MANAGEMENT,CSE 4.3,B218
WEDNESDAY,10:00,10:50,INFORMATION SECURITY AND MANAGEMENT,CSE 4.3,A308
TUESDAY,15:50,17:30,INFORMATION SECURITY AND MANAGEMENT,CSE 4.3,Power System Simulation Lab
THURSDAY,13:50,15:30,INFORMATION SECURITY AND MANAGEMENT,CSE 4.3,Aerodynamics Lab
MONDAY,11:00,11:50,INFORMATION SECURITY AND MANAGEMENT,CSE 4.5,B426
WEDNESDAY,16:00,16:50,INFORMATION SECURITY AND MANAGEMENT,CSE 4.5,C201
FRIDAY,09:50,11:30,INFORMATION SECURITY AND MANAGEMENT,CSE 4.5,Dynamics Lab
THURSDAY,11:50,13:30,INFORMATION SECURITY AND MANAGEMENT,CSE 4.5,Networks Lab
