Day,StartTime,EndTime,Course,Groups,Room
WEDNESDAY,16:00,16:50,Automata Theory & Compiler Design,IT 3.3,B419
SATURDAY,14:00,14:50,Automata Theory & Compiler Design,IT 3.3,B422
THURSDAY,14:00,14:50,Automata Theory & Compiler Design,IT 3.3,B423
SATURDAY,10:00,10:50,Cloud and Big Data Analytics,IT 4.3,A205
SATURDAY,11:00,11:50,Cloud and Big Data Analytics,IT 4.3,B403
THURSDAY,12:00,12:50,Cloud and Big Data Analytics,IT 4.3,B415
TUESDAY,09:50,11:30,Cloud and Big Data Analytics,IT 4.3,Food Processing and Preservation Lab
SATURDAY,11:50,13:30,Cloud and Big Data Analytics,IT 4.3,VLSI Lab
WEDNESDAY,13:50,15:30,Cloud and Big Data Analytics,IT 4.3,Electronic Devices & Circuits Lab
TUESDAY,08:00,09:40,Cloud and Big Data Analytics,IT 4.3,Microprocessor Lab-1
