Day,StartTime,EndTime,Course,Groups,Room
THURSDAY,10:00,10:50,Computer Architecture,CSE 2.7,B411
TUESDAY,09:00,09:50,Computer Architecture,CSE 2.7,A210
MONDAY,08:00,08:50,Computer Architecture,CSE 2.7,B401
WEDNESDAY,14:00,14:50,Design and Analysis of Algorithms,CSE 2.1,C101
TUESDAY,12:00,12:50,Design and Analysis of Algorithms,CSE 2.1,A303
TUESDAY,13:00,13:50,Design and Analysis of Algorithms,CSE 2.1,A309
FRIDAY,11:50,13:30,Design and Analysis of Algorithms,CSE 2.1,Chemistry Lab
THURSDAY,11:50,13:30,Design and Analysis of Algorithms,CSE 2.1,TLFR5
FRIDAY,18:00,18:50,Design and Analysis of Algorithms,CSE 2.7,A303
TUESDAY,15:00,15:50,Design and Analysis of Algorithms,CSE 2.7,A305
MONDAY,09:00,09:50,Design and Analysis of Algorithms,CSE 2.7,B405
MONDAY,11:50,13:30,Design and Analysis of Algorithms,CSE 2.7,Physics LAB - 2
MONDAY,09:50,11:30,Design and Analysis of Algorithms,CSE 2.7,Electrical Machines I Lab
