Day,StartTime,EndTime,Course,Groups,Room
FRIDAY,10:00,10:50,RF and Microwave Engineering,ECE 4.4,B210
TUESDAY,13:00,13:50,RF and Microwave Engineering,ECE 4.4,B321
SATURDAY,15:00,15:50,RF and Microwave Engineering,ECE 4.4,B212
SATURDAY,09:50,11:30,Advanced Communication Systems Laboratory,ECE 4.1,Optical and Microwave Lab
THURSDAY,08:00,09:40,Advanced Communication Systems Laboratory,ECE 4.1,Optical and Microwave Lab
WEDNESDAY,11:50,13:30,Advanced Communication Systems Laboratory,ECE 4.1,Optical and Microwave Lab
WEDNESDAY,17:30,19:10,Advanced Communication Systems Laboratory,ECE 4.1,Optical and Microwave Lab
THURSDAY,11:50,13:30,Advanced Communication Systems Laboratory,ECE 4.4,Optical and Microwave Lab
TUESDAY,15:50,17:30,Advanced Communication Systems Laboratory,ECE 4.4,Optical and Microwave Lab
SATURDAY,15:50,17:30,Advanced Communication Systems Laboratory,ECE 4.4,Optical and Microwave Lab
TUESDAY,17:30,19:10,Advanced Communication Systems Laboratory,ECE 4.4,Optical and Microwave Lab
