Day,StartTime,EndTime,Course,Group,Room
TUESDAY,10:00,10:50,Heritage Of Tamils,ECE 1.5,B107
THURSDAY,09:00,09:50,Technical Communication -I,CSE-CS 1.2,B417
TUESDAY,14:00,14:50,Technical Communication -I,CSE-CS 1.2,A203
FRIDAY,12:00,12:50,Indian Constitution and Freedom Movement,CSD 1.1,D311
THURSDAY,11:00,11:50,Indian Constitution and Freedom Movement,CSD 1.1,D711
WEDNESDAY,15:00,15:50,Indian Constitution and Freedom Movement,CSD 1.1,B402
MONDAY,10:00,10:50,Business Communication and Value Science – I,CSBS 1.1,B219
FRIDAY,11:00,11:50,Business Communication and Value Science – I,CSBS 1.1,D310
WEDNESDAY,10:00,10:50,Technical Communication -I,CSBS 1.1,D704
WEDNESDAY,11:00,11:50,Technical Communication -I,CSBS 1.1,A202
WEDNESDAY,12:00,12:50,Heritage Of Tamils,MCT 1.1,D305
