Day,StartTime,EndTime,Course,Groups,Room
THURSDAY,08:00,08:50,Digital Principles and System Design,ECE 2.3,A209
THURSDAY,10:00,10:50,Digital Principles and System Design,ECE 2.3,A302
WEDNESDAY,10:00,10:50,Digital Principles and System Design,ECE 2.3,B106
FRIDAY,11:50,13:30,Analog and Digital Circuits Laboratory,ECE 2.1,Basic Electronics Lab-1
THURSDAY,11:50,13:30,Analog and Digital Circuits Laboratory,ECE 2.1,Basic Electronics Lab-1
SATURDAY,08:00,09:40,Analog and Digital Circuits Laboratory,ECE 2.1,Basic Electronics Lab-1
WEDNESDAY,11:50,13:30,Analog and Digital Circuits Laboratory,ECE 2.1,Digital Lab-2
TUESDAY,15:00,15:50,Analog and Digital Communication,IT 2.5,B403
FRIDAY,11:00,11:50,Analog and Digital Communication,IT 2.5,B325
SATURDAY,10:00,10:50,Analog and Digital Communication,IT 2.5,B320
