Day,StartTime,EndTime,Course,Groups,Room
THURSDAY,14:00,14:50,Object Oriented Programming Using JAVA,CSE 2.6,B320
WEDNESDAY,17:00,17:50,Object Oriented Programming Using JAVA,CSE 2.6,C307
TUESDAY,15:00,15:50,Object Oriented Programming Using JAVA,CSE 2.6,B211
MONDAY,09:50,11:30,Object Oriented Programming Using JAVA,CSE 2.6,Electrical Machines II Lab
MONDAY,08:00,09:40,Object Oriented Programming Using JAVA,CSE 2.6,Physics LAB - 1
MONDAY,11:50,13:30,Object Oriented Programming Using JAVA,CSE 2.6,TLFR1
TUESDAY,15:50,17:30,Object Oriented Programming Using JAVA,CSE 2.6,Immunology Lab
THURSDAY,15:00,15:50,Fundamentals of Data Science,CSE 2.1,B410
WEDNESDAY,11:00,11:50,Fundamentals of Data Science,CSE 2.1,B320
WEDNESDAY,10:00,10:50,Fundamentals of Data Science,CSE 2.1,B213
THURSDAY,11:50,13:30,Fundamentals of Data Science,CSE 2.1,TLFL1
WEDNESDAY,11:50,13:30,Fundamentals of Data Science,CSE 2.1,VLSI Lab
THURSDAY,10:00,10:50,Fundamentals of Data Science,CSE 2.9,A203
WEDNESDAY,15:00,15:50,Fundamentals of Data Science,CSE 2.9,B411
TUESDAY,12:00,12:50,Fundamentals of Data Science,CSE 2.9,B409
FRIDAY,11:50,13:30,Fundamentals of Data Science,CSE 2.9,TLGL3
FRIDAY,09:50,11:30,Fundamentals of Data Science,CSE 2.9,TLFL3
