Day,StartTime,EndTime,Course,Group,Room
SATURDAY,09:00,09:50,Heritage Of Tamils,EEE 1.1,A308
FRIDAY,08:00,08:50,Heritage Of Tamils,ECE 1.4,B325
MONDAY,11:00,11:50,Indian Constitution and Freedom Movement,ECE 1.7,D205
TUESDAY,10:00,10:50,Indian Constitution and Freedom Movement,ECE 1.7,B222
FRIDAY,09:00,09:50,Indian Constitution and Freedom Movement,ECE 1.7,A303
WEDNESDAY,14:00,14:50,Indian Constitution and Freedom Movement,AIDS 1.6,D709
TUESDAY,15:00,15:50,Indian Constitution and Freedom Movement,AIDS 1.6,D211
SATURDAY,14:00,14:50,Indian Constitution and Freedom Movement,AIDS 1.6,B422
TUESDAY,16:00,16:50,Heritage Of Tamils,CHEM 1.1,B416
THURSDAY,12:00,12:50,Technical Communication -I,BT 1.2,B416
WEDNESDAY,09:00,09:50,Technical Communication -I,BT 1.2,D305
WEDNESDAY,11:00,11:50,Technical Communication -I,MECH 1.1,A311
MONDAY,15:00,15:50,Technical Communication -I,MECH 1.1,B212
