Day,StartTime,EndTime,Course,Group,Room
MONDAY,11:00,11:50,Indian Constitution and Freedom Movement,ECE 1.2,B416
WEDNESDAY,08:00,08:50,Indian Constitution and Freedom Movement,ECE 1.2,A208
THURSDAY,12:00,12:50,Indian Constitution and Freedom Movement,ECE 1.2,D710
THURSDAY,08:00,08:50,Heritage Of Tamils,AIDS 1.1,C308
SATURDAY,14:00,14:50,Technical Communication -I,AIDS 1.4,A203
TUESDAY,10:00,10:50,Technical Communication -I,AIDS 1.4,A203
TUESDAY,12:00,12:50,Heritage Of Tamils,IT 1.4,A108
THURSDAY,15:00,15:50,Indian Constitution and Freedom Movement,CSE 1.6,B418
WEDNESDAY,10:00,10:50,Indian Constitution and Freedom Movement,CSE 1.6,A204
THURSDAY,10:00,10:50,Indian Constitution and Freedom Movement,CSE 1.6,D704
TUESDAY,08:00,08:50,Technical Communication -I,BME 1.2,A305
FRIDAY,13:00,13:50,Technical Communication -I,BME 1.2,B416
